experiment,bm25_weight,vector_weight,query_count,precision@10,recall@10,map,mrr,ndcg@10
bm25_only,1.0,0.0,300,0.08566666666666667,0.7688333333333334,0.6104604251724804,0.6184026131007174,0.6478577826636135
tfidf_only,0.0,1.0,300,0.08,0.7198888888888889,0.5269109544889924,0.5391804013953966,0.5709894052147925
hybrid_rrf,0.5,0.5,300,0.08600000000000001,0.7718333333333334,0.5739692337004226,0.5846627051445716,0.6214658431785085
