experiment,bm25_weight,dense_weight,query_count,precision@10,recall@10,map,mrr,ndcg@10
bm25_only,1.0,0.0,300,0.08566666666666667,0.7688333333333334,0.6104604251724804,0.6184026131007174,0.6478577826636135
dense_only,0.0,1.0,300,0.09533333333333334,0.8452222222222222,0.6817755577558621,0.6882595219067059,0.7200042547439368
hybrid_rrf,0.5,0.5,300,0.09333333333333334,0.8284444444444444,0.6715417934619506,0.6820361354257524,0.707527858877907
dense_bias_01,0.1,0.9,300,0.096,0.8518888888888889,0.6872425169127653,0.6931418411741592,0.7255436445408442
dense_bias_02,0.2,0.8,300,0.09533333333333334,0.8452222222222222,0.6838150191946958,0.6906462177981535,0.7202550374595231
dense_bias_03,0.3,0.7,300,0.094,0.8345555555555556,0.6737852013058662,0.6799872102642458,0.709348864618841
