experiment,bm25_weight,dense_weight,query_count,precision@10,recall@10,map,mrr,ndcg@10,avg_query_ms,total_time_s
w19,0.1,0.9,300,0.096,0.8518888888888889,0.6868066720709973,0.6927912667034181,0.7253162684215069,80.11015566580075,24.12606759998016
w28,0.2,0.8,300,0.09533333333333334,0.8452222222222222,0.6865327411606339,0.6929315390453743,0.722330875957011,97.21879233402433,29.256017899984727
w37,0.3,0.7,300,0.09366666666666668,0.8312222222222222,0.6747445023439368,0.6811910083095748,0.7090795044625753,98.31394266647597,29.586795500013977
